,name,review_x
0,37 그릴 & 바,"[601991492, 556208504, 543510549, 541863237, 528921684, 527970239, 500502591, 450555561, 438723141, 422073701, 601991492, 556208504, 543510549, 541863237, 528921684, 527970239, 500502591, 450555561, 438723141, 422073701, 375052467, 349029306, 342485311, 339508517, 338578665, 330630480, 324585085, 324296490, 321570863, 320270165, 375052467, 349029306, 342485311, 339508517, 338578665, 330630480, 324585085, 324296490, 321570863, 320270165, 318892287, 313709527, 306814530, 303580846, 303149163, 300642696, 295835101, 635580308, 586518952, 539636729, 318892287, 313709527, 306814530, 303580846, 303149163, 300642696, 295835101, 635580308, 586518952, 539636729, 537108676, 534253393, 499576422, 467268815, 438248807, 432360293, 417300761, 413747094, 362938693, 353915322, 537108676, 534253393, 499576422, 467268815, 438248807, 432360293, 417300761, 413747094, 362938693, 353915322, 350774835, 341316084, 331027055, 328713895, 324177640, 324010604, 323884217, 322327010, 315826226, 305527185, 350774835, 341316084, 331027055, 328713895, 324177640, 324010604, 323884217, 322327010, 315826226, 305527185, 272924532, 271294536, 268913990, 263726899, 262177291, 261803737, 257439038, 256692742, 245809699, 242244986, 272924532, 271294536, 268913990, 263726899, 262177291, 261803737, 257439038, 256692742, 245809699, 242244986, 240783891, 219617716, 215813384, 240783891, 219617716, 215813384]"
1,88생선구이,"[657460472, 655589607, 648731426, 633759938, 629591502, 619976789, 602021031, 592294530, 586666876, 581039975, 549661357, 546108579, 543480236, 542320688, 541278119, 536118403, 525618273, 525605252, 506024764, 502688030, 498172883, 496051925, 492187787, 482451124, 470801373, 464654737, 463685136, 456801796, 452525088, 449051612, 425684797, 422800738, 421385954, 412752040, 356430129, 356236025, 352361760, 343225496, 337126127, 336163754, 334854029, 329850323, 327951862, 323781600, 323380368, 323078547, 322541079, 315503091, 314351304, 313149625, 312549602, 307460432, 299115231, 282320326, 267901878, 266933777, 506920097, 501898472, 482908371, 448835358, 413068596, 313495995, 285720457, 285447724]"
2,BLT 스테이크,"[671607935, 662695183, 655370462, 641899876, 629767741, 620411224, 618814510, 618131768, 613981627, 613308932, 604199112, 604198417, 602539415, 600565395, 599738245, 591220496, 587737162, 583780588, 583640523, 581327546, 581216596, 579376007, 574643598, 574565304, 574160214, 571372453, 571186230, 570806408, 570677715, 569809455, 569807663, 568874461, 563643222, 556199932, 555704202, 549138831, 541709802, 533136202, 506185397, 498407279, 484575113, 472009050, 471788984, 471763648, 471317023, 467427875, 464458607, 463689141, 460562984, 452492815, 450552019, 445574106, 445521729, 444746272, 444356484, 444175343, 443758591, 443681441, 443079800, 443039715, 442986996, 442171157, 440627204, 434003137, 425224689, 424678372, 406045358, 398659664, 381020190, 378624016, 378166631, 371735677, 362220118, 359588908, 358130590, 357750706, 357570912, 357508309, 357506539, 357503701, 357503099, 357276391, 356707969, 350719279, 349842908, 349573288, 347928103, 344879263, 344875129, 343925977, 343735436, 343364217, 342471653, 339833717, 339815419, 339731015, 339361749, 334136867, 333925024, 329834582, 329522393, 328566465, 324272907, 308392243, 305552441, 304260591, 259718687, 231151763, 230830628, 496317438, 486509935, 480824911, 396104995, 391253487, 378960746, 373578905, 340365513, 324307320, 317367172, 268420295, 268004295, 258560744, 238377270, 230869501, 230819299, 230081655]"
3,WXYZ바,"[609504009, 584131917, 582163849, 580918731, 571238297, 569032736, 568857804, 566446406, 566001318, 565586047, 609504009, 584131917, 582163849, 580918731, 571238297, 569032736, 568857804, 566446406, 566001318, 565586047, 563619596, 563494447, 563302032, 563295564, 563295250, 562076676, 562074610, 562069748, 562055789, 561721473, 563619596, 563494447, 563302032, 563295564, 563295250, 562076676, 562074610, 562069748, 562055789, 561721473, 560235827, 559152213, 557276804, 555822139, 554675546, 553509389, 549642626, 547305898, 546554797, 546308032, 560235827, 559152213, 557276804, 555822139, 554675546, 553509389, 549642626, 547305898, 546554797, 546308032, 545909073, 545908631, 668686657, 666992762, 660095567, 640068133, 556277803, 544928513, 545909073, 545908631, 668686657, 666992762, 660095567, 640068133, 556277803, 544928513]"
4,데블스도어,"[656709465, 633512811, 628837397, 616496796, 600565935, 554834932, 542118293, 534482724, 531864463, 508249904, 494455267, 475156505, 467934543, 457603639, 455626767, 434442393, 393782443, 389278972, 367830241, 359730965, 343966434, 340890950, 339003986, 324745811, 324541467, 323555531, 315031547, 287427686, 270691530, 249996435, 622676946, 572650576, 524374492, 510917702, 509249099, 509004055, 488046012, 483198364, 479321101, 475304679, 472310708, 471970748, 462596363, 459373561, 453692470, 446807979, 438191665, 424878080, 407290940, 385795415, 382958305, 369155821, 359766066, 349516122, 336853178, 329101651, 319473248, 317935799, 287051195, 285311680, 271680167, 259495222]"
5,이드 - 할랄 코리안 푸드,"[358893539, 670332465, 656645005, 653720677, 633718234, 631158738, 625755415, 611873416, 598075382, 579386015, 574562791, 571911013, 555780608, 553322879, 539630308, 534205054, 495042794, 494122764, 483490473, 437998473, 437994145, 437640107, 432323446, 422667285, 422144371, 419136950, 416450804, 396870521, 380133163, 378652907, 378182578, 370350655, 367039435, 365864138, 363263631, 356916012, 352803683, 349094442, 338349726, 338040211, 337722142, 336836987, 333948879, 332675640, 331336095, 330999535, 330523324, 327711740, 325334684, 323791089, 321037372, 316742471, 281977754, 275973505, 261842397, 249121248]"
6,가나안덕 일산본점,"[648433481, 639002208, 631447399, 603593632, 594941230, 587105365, 581546353, 542190973, 541981806, 483809536, 648433481, 639002208, 631447399, 603593632, 594941230, 587105365, 581546353, 542190973, 541981806, 483809536, 483775723, 471161036, 464245919, 459837745, 453481361, 448734640, 424891953, 406842871, 384447268, 380446156, 483775723, 471161036, 464245919, 459837745, 453481361, 448734640, 424891953, 406842871, 384447268, 380446156, 370292019, 365546062, 364310247, 356899115, 356791210, 355880028, 343968805, 343776730, 343685871, 342994115, 370292019, 365546062, 364310247, 356899115, 356791210, 355880028, 343968805, 343776730, 343685871, 342994115, 342829879, 336940867, 335664704, 329931579, 327538541, 327535903, 327523163, 327288079, 324778111, 323401379, 342829879, 336940867, 335664704, 329931579, 327538541, 327535903, 327523163, 327288079, 324778111, 323401379, 323332744, 323186550, 321304463, 320549372, 319210021, 319206605, 316892850, 626909170, 499513157, 401454972, 323332744, 323186550, 321304463, 320549372, 319210021, 319206605, 316892850, 626909170, 499513157, 401454972, 314996653, 314996653]"
7,가보정,"[667292473, 661575159, 659160180, 659136762, 658766974, 656873891, 656200622, 654882750, 639043520, 631586370, 667292473, 661575159, 659160180, 659136762, 658766974, 656873891, 656200622, 654882750, 639043520, 631586370, 667292473, 661575159, 659160180, 659136762, 658766974, 656873891, 656200622, 654882750, 639043520, 631586370, 631400304, 631267685, 621658192, 619996329, 616098950, 604143432, 603642033, 602831147, 598665760, 597265554, 631400304, 631267685, 621658192, 619996329, 616098950, 604143432, 603642033, 602831147, 598665760, 597265554, 631400304, 631267685, 621658192, 619996329, 616098950, 604143432, 603642033, 602831147, 598665760, 597265554, 588642561, 588609826, 586558422, 584479476, 583147728, 582101440, 581630284, 573838446, 573631447, 568805903, 588642561, 588609826, 586558422, 584479476, 583147728, 582101440, 581630284, 573838446, 573631447, 568805903, 588642561, 588609826, 586558422, 584479476, 583147728, 582101440, 581630284, 573838446, 573631447, 568805903, 568337160, 564621008, 561370258, 559331321, 555344430, 555335239, 549680287, 545675608, 545436451, 545393794, 568337160, 564621008, 561370258, 559331321, 555344430, 555335239, 549680287, 545675608, 545436451, 545393794, 568337160, 564621008, 561370258, 559331321, 555344430, 555335239, 549680287, 545675608, 545436451, 545393794, 544406612, 543942787, 543912372, 543730052, 543730010, 543175470, 542792041, 541557324, 540623699, 540138568, 544406612, 543942787, 543912372, 543730052, 543730010, 543175470, 542792041, 541557324, 540623699, 540138568, 544406612, 543942787, 543912372, 543730052, 543730010, 543175470, 542792041, 541557324, 540623699, 540138568, 540093492, 539833963, 530150459, 529447319, 529406215, 529302960, 528670468, 525965201, 525540060, 524483406, 540093492, 539833963, 530150459, 529447319, 529406215, 529302960, 528670468, 525965201, 525540060, 524483406, 540093492, 539833963, 530150459, 529447319, 529406215, 529302960, 528670468, 525965201, 525540060, 524483406, 522154971, 520663642, 517405837, 515550118, 514389804, 512569153, 512567747, 500553076, 500095555, 494426165, 522154971, 520663642, 517405837, 515550118, 514389804, 512569153, 512567747, 500553076, 500095555, 494426165, 522154971, 520663642, 517405837, 515550118, 514389804, 512569153, 512567747, 500553076, 500095555, 494426165, 486860952, 484034492, 477295776, 470968505, 470727599, 467841214, 462093960, 459553894, 459549871, 456038376, 486860952, 484034492, 477295776, 470968505, 470727599, 467841214, 462093960, 459553894, 459549871, 456038376, 486860952, 484034492, 477295776, 470968505, 470727599, 467841214, 462093960, 459553894, 459549871, 456038376, 455614989, 452532593, 452511793, 452472679, 447461961, 447145122, 442992916, 436274271, 432919488, 429474390, 455614989, 452532593, 452511793, 452472679, 447461961, 447145122, 442992916, 436274271, 432919488, 429474390, 455614989, 452532593, 452511793, 452472679, 447461961, 447145122, 442992916, 436274271, 432919488, 429474390, 429177487, 410566546, 410350782, 392379980, 392107317, 390980291, 384762709, 377340334, 376310175, 375451868, 429177487, 410566546, 410350782, 392379980, 392107317, 390980291, 384762709, 377340334, 376310175, 375451868, 429177487, 410566546, 410350782, 392379980, 392107317, 390980291, 384762709, 377340334, 376310175, 375451868, 371638823, 370000578, 367069645, 363838992, 360040102, 355861884, 355474193, 355453949, 354901358, 353051868, 371638823, 370000578, 367069645, 363838992, 360040102, 355861884, 355474193, 355453949, 354901358, 353051868, 371638823, 370000578, 367069645, 363838992, 360040102, 355861884, 355474193, 355453949, 354901358, 353051868, 352736772, 351437040, 348849585, 347788488, 347020358, 344137277, 343322620, 342460736, 341544019, 339500092, 352736772, 351437040, 348849585, 347788488, 347020358, 344137277, 343322620, 342460736, 341544019, 339500092, 352736772, 351437040, 348849585, 347788488, 347020358, 344137277, 343322620, 342460736, 341544019, 339500092, 338330103, 337743293, 333441932, 332806402, 329854507, 329433125, 328714062, 327735623, 327278550, 325675674, 338330103, 337743293, 333441932, 332806402, 329854507, 329433125, 328714062, 327735623, 327278550, 325675674, 338330103, 337743293, 333441932, 332806402, 329854507, 329433125, 328714062, 327735623, 327278550, 325675674, 325443814, 324268477, 323060145, 323051001, 321056589, 318857419, 318784764, 318156512, 315233652, 315000437, 325443814, 324268477, 323060145, 323051001, 321056589, 318857419, 318784764, 318156512, 315233652, 315000437, 325443814, 324268477, 323060145, 323051001, 321056589, 318857419, 318784764, 318156512, 315233652, 315000437, 312320353, 311468934, 308069482, 303936465, 303922860, 303921689, 301680939, 298239554, 298108780, 298101211, 312320353, 311468934, 308069482, 303936465, 303922860, 303921689, 301680939, 298239554, 298108780, 298101211, 312320353, 311468934, 308069482, 303936465, 303922860, 303921689, 301680939, 298239554, 298108780, 298101211, 297879004, 297703903, 296745967, 296041888, 295868243, 289990023, 287715535, 268070125, 265448928, 248192887, 297879004, 297703903, 296745967, 296041888, 295868243, 289990023, 287715535, 268070125, 265448928, 248192887, 297879004, 297703903, 296745967, 296041888, 295868243, 289990023, 287715535, 268070125, 265448928, 248192887, 242358393, 198350956, 191750524, 165278294, 165278296, 165278298, 165278300, 165278301, 504019111, 492877207, 242358393, 198350956, 191750524, 165278294, 165278296, 165278298, 165278300, 165278301, 504019111, 492877207, 242358393, 198350956, 191750524, 165278294, 165278296, 165278298, 165278300, 165278301, 504019111, 492877207, 476042932, 467212549, 467131631, 445015514, 417966333, 409208489, 408127111, 378979311, 339106199, 336876121, 476042932, 467212549, 467131631, 445015514, 417966333, 409208489, 408127111, 378979311, 339106199, 336876121, 476042932, 467212549, 467131631, 445015514, 417966333, 409208489, 408127111, 378979311, 339106199, 336876121, 305174304, 255712770, 251726304, 249949831, 247625041, 241574054, 305174304, 255712770, 251726304, 249949831, 247625041, 241574054, 305174304, 255712770, 251726304, 249949831, 247625041, 241574054]"
8,가족회관,"[671460930, 647315978, 641181962, 637911017, 603550066, 602818331, 542737704, 529290245, 520085741, 481427664, 671460930, 647315978, 641181962, 637911017, 603550066, 602818331, 542737704, 529290245, 520085741, 481427664, 469603733, 424423089, 393865324, 381533947, 380235761, 340086594, 322298000, 322202829, 318930499, 314955886, 469603733, 424423089, 393865324, 381533947, 380235761, 340086594, 322298000, 322202829, 318930499, 314955886, 314597555, 310703080, 307225977, 305216801, 296170743, 269241662, 191748050, 624056241, 594713030, 482225188, 314597555, 310703080, 307225977, 305216801, 296170743, 269241662, 191748050, 624056241, 594713030, 482225188, 471346541, 446371820, 383318603, 356743659, 300556788, 253270667, 203550246, 471346541, 446371820, 383318603, 356743659, 300556788, 253270667, 203550246]"
9,갈메기 브루어리,"[673180397, 666315346, 641095337, 640668121, 638111366, 637972930, 637972671, 637970775, 637962722, 636821732, 635546890, 634792653, 633944093, 632328833, 632327948, 632323187, 632135100, 630464347, 630448061, 630441288, 630435334, 630017272, 630014790, 630013508, 629791931, 629782593, 628805895, 628345066, 626715280, 626713098, 625728605, 624937114, 623960085, 623459290, 623459171, 623146902, 622629138, 622626935, 622616190, 622612255, 622565592, 621767355, 620639079, 620242722, 618817512, 618817357, 614815373, 614803671, 614797406, 614794850, 612835816, 607272321, 605269894, 602620033, 600686560, 598142723, 597310375, 597300639, 597257691, 596690667, 593723400, 593498308, 593496222, 592700782, 591834204, 590576739, 587593959, 587593193, 584991945, 582609812, 578775566, 578234820, 575593904, 566254232, 565177053, 544136042, 530083948, 516529386, 509499415, 484081726, 470434600, 467726803, 394933181, 393405279, 370858784, 367071521, 351321571, 344395772, 336114031, 331119158, 329644052, 323105500, 316488947, 297826272, 532752622, 497430943, 475357889, 468738729, 437326710, 431780574, 425773691, 336733919, 306520519, 296162857, 290946306, 289161074, 282309876, 274309294, 266502512, 256441612, 253259800, 252521881, 247172050, 242637404, 241035967, 226611704]"
