,id,name
0,"['645468041', '641184334', '604952859', '583203462', '579102576', '574911309', '574278054', '564234675', '558429966', '556591618']",파라디소 페르두또 이탈리안 카페 & 키친
1,"['650842364', '595514917', '578441384', '556299002', '546353976', '509891793', '500855629', '452302921', '447612642', '444816519']",늘봄 흙돼지
2,"['675221124', '674539394', '673890391', '665877474', '654984237', '646190219', '623629022', '623056051', '613958622', '604813770']",고집돌우럭
3,"['657139508', '636601816', '581016266', '577614662', '539415039', '524986903', '499256017', '474453841', '472560014', '454473351']",산방식당
4,"['658363172', '646790541', '626619185', '616821414', '604841990', '583531166', '579417467', '566471108', '549608414', '547432328']",안거리밖거리
5,"['672493574', '621007153', '533167500', '520245860', '500438805', '351806702', '351748921', '349825987', '327346422', '324783956']",명동전주중앙회관
6,"['672489684', '660231061', '561818269', '553682327', '545169387', '496120461', '467151813', '427419641', '408511685', '396033522']",엔그릴
7,"['586161051', '584560047', '582444874', '581320241', '579611010', '577294136', '576492048', '556798086', '491374972', '336164626']",꾸띠 자르당
8,"['647302819', '646981552', '620678309', '548929352', '544320780', '495097504', '442147606', '411246740', '377887590', '370788855']",서울서 둘째로 잘하는 집
9,"['673441495', '666959429', '661885044', '628240965', '623349225', '351253661', '305580179', '200309366', '673196200', '592065163']",파올로 데 마리아
10,"['671607935', '662695183', '655370462', '641899876', '629767741', '620411224', '618814510', '618131768', '613981627', '613308932']",BLT 스테이크
11,"['672490473', '658690062', '604133229', '571374454', '631244357', '526982836', '526953915', '420047407', '343448706', '338310656']",인도로가는길 레스토랑
12,"['631160836', '599710495', '583815889', '556013845', '552613120', '543908236', '540694632', '455903036', '444116783', '422712798']",미가본
13,"['659131548', '605226838', '596343968', '593011126', '583180394', '543983876', '541109924', '541095675', '540317297', '529857230']",연남서식당
14,"['672666004', '666102500', '652880987', '648495926', '646170793', '616415530', '609012319', '597071158', '583661294', '581087074']",자매집
15,"['672373383', '659122713', '650423972', '645827052', '640616984', '635951962', '635918696', '635137497', '622012531', '609012042']",쟈니덤플링
16,"['664109239', '652881273', '647893580', '636916570', '632832420', '632477593', '611222304', '594782893', '573433095', '564771912']",아리아
17,"['659774300', '658377771', '629586188', '626079684', '591611542', '583207346', '523917716', '475796144', '465528424', '442595942']",우드앤브릭
18,"['666223344', '655102797', '582538480', '581339294', '550134342', '518404659', '507972966', '502190019', '501777382', '492940746']",에베레스트 커리월드레스토랑
19,"['669349179', '655925696', '650676869', '650481554', '626893524', '622323441', '566383847', '549231813', '525876285', '447120291']",개성만두 궁
20,"['498414885', '488853370', '480991245', '467308731', '453391807', '453080991', '421824849', '383529761', '383477191', '379348762']",자연산횟집
21,"['665173781', '659008619', '614983441', '613052525', '612829072', '612777635', '612753817', '586285752', '565539557', '541139785']",더 플라잉 팬 블루
22,"['674961125', '541739195', '528688506', '508295366', '462649575', '460682169', '406466767', '379196590', '360084036', '348170099']",원조 쌈밥집 논현 본점
23,"['648497886', '633015012', '609046468', '599477732', '574639598', '565714273', '549222217', '547771372', '546158171', '544317771']",미즈컨테이너
24,"['672074042', '662707267', '588620746', '575050232', '541057611', '529458733', '518240929', '448463216', '438886692', '416915496']",민트
25,"['659553112', '647351397', '646709950', '627673810', '608232956', '603110286', '565720202', '562108678', '549230938', '546974493']",먹쉬돈나 삼청동점
26,"['668056882', '652879832', '580296886', '560806619', '538905799', '447070447', '419817132', '343898973', '338344642', '331515862']",스와니예
27,"['663167092', '629861582', '589422176', '550377488', '542633411', '499365405', '378174736', '338357743', '326804553', '323149553']",진 원조 보신 닭한마리 본점
28,"['662978844', '655925464', '641326434', '610097499', '566384172', '543975550', '494223657', '445800674', '383135036', '329848493']",전통 다원
29,"['672492898', '584046390', '562449744', '552927106', '543068474', '542822803', '541212464', '394026472', '390307286', '375688583']",홍대 닭갈비
30,"['652928628', '636377377', '630895224', '615576315', '612730789', '597202625', '587747323', '586806319', '572404322', '568327634']",춘심이네 본점
31,"['673603530', '673123574', '639360621', '624591612', '587644553', '568651534', '561619534', '561383473', '550122974', '541099517']",브레라
32,"['660056725', '600777172', '529454230', '511052893', '502358347', '485141579', '480863854', '468991089', '436725023', '426888937']",오조해녀의집
33,"['613665042', '603166583', '593519384', '582072983', '581306322', '581178577', '577658296', '577052869', '576355000', '575801496']",랑빠스81
34,"['665199943', '663789550', '662694260', '657278860', '656681440', '649241504', '642983095', '397814936', '165277298', '629539807']",오다리집 명동
35,"['659164875', '626905606', '594690265', '588702442', '579421686', '545164767', '540316330', '530653759', '494921356', '454933724']",원조 원할매 닭한마리
36,"['630181033', '617808139', '616354376', '586193057', '582135002', '565037335', '544316798', '542134174', '528175930', '467829918']",명동닭한마리 본점
37,"['664244869', '656144436', '637911179', '637259765', '632265187', '630177882', '620587617', '620328054', '613120675', '609011721']",라세느
38,"['670796043', '647059721', '640605976', '628772828', '628327011', '613869154', '611744503', '599711924', '552644464', '550619109']",라이너스 바베큐
39,"['651058097', '600655775', '554568873', '517975918', '504744772', '483995401', '423742449', '386792910', '358874272', '351506705']",단풍나무 집 삼청동점
40,"['672074042', '662707267', '588620746', '575050232', '541057611', '529458733', '518240929', '448463216', '438886692', '416915496']",민트
41,"['672494379', '668925912', '546757190', '516159496', '505644370', '405074229', '331344407', '329440656', '328897874', '322305318']",츄리 츄리
42,"['671819380', '670340318', '664728397', '660468580', '653664783', '650253247', '629998498', '619988714', '569886738', '558905769']",모모야마
43,"['648287648', '430166612', '323068699', '164361010', '164361012', '164361014', '164361016', '164361018', '666315872', '661572440']",라지마할
44,"['672493246', '628735992', '548529244', '545657814', '543722759', '538222789', '402812040', '373697903', '367785775', '355159208']",바토스 신사점
45,"['675221124', '674539394', '673890391', '665877474', '654984237', '646190219', '623629022', '623056051', '613958622', '604813770']",고집돌우럭
46,"['624618053', '621010657', '559160719', '500098286', '465289616', '443478284', '324779444', '320888156', '311192704', '218981904']",고궁 명동점
47,"['657139508', '636601816', '581016266', '577614662', '539415039', '524986903', '499256017', '474453841', '472560014', '454473351']",산방식당
48,"['654035385', '646981227', '640785923', '631800192', '604519445', '579571436', '542635150', '541123596', '533007796', '489336035']",마포만두
49,"['670005775', '658174129', '321300105', '252864931', '240914952', '240914791', '239119211', '624821611', '621715210', '621714856']",사우스사이드팔러
50,"['665904360', '648743366', '623084802', '605595394', '589646581', '578183257', '566550393', '562461130', '544232221', '541116652']",을밀대
51,"['660056725', '600777172', '529454230', '511052893', '502358347', '485141579', '480863854', '468991089', '436725023', '426888937']",오조해녀의집
52,"['648433481', '639002208', '631447399', '603593632', '594941230', '587105365', '581546353', '542190973', '541981806', '483809536']",가나안덕 일산본점
53,"['652928628', '636377377', '630895224', '615576315', '612730789', '597202625', '587747323', '586806319', '572404322', '568327634']",춘심이네 본점
54,"['650842364', '595514917', '578441384', '556299002', '546353976', '509891793', '500855629', '452302921', '447612642', '444816519']",늘봄 흙돼지
55,"['658363172', '646790541', '626619185', '616821414', '604841990', '583531166', '579417467', '566471108', '549608414', '547432328']",안거리밖거리
56,"['674495515', '653279474', '645661640', '618078822', '584679789', '567773109', '565542883', '561036427', '544591862', '544317633']",밀탑
57,"['674961618', '665640924', '640850852', '541091753', '538691528', '473074965', '310665226', '165277222', '596109241', '540680303']",느티나무 설렁탕
58,"['673205593', '652934814', '642608500', '635905182', '629843912', '608728415', '594682383', '582533419', '571185189', '564213690']",정식당
59,"['662368654', '653141563', '641247122', '630945560', '624617346', '624371447', '620675718', '617572852', '608690362', '600008404']",보칼리노
60,"['664244869', '656144436', '637911179', '637259765', '632265187', '630177882', '620587617', '620328054', '613120675', '609011721']",라세느
61,"['636291383', '623908762', '603163780', '563648121', '552643364', '551953526', '545633323', '541120076', '524490811', '504631828']",탑 클라우드
62,"['645267103', '564511506', '543263330', '540098490', '526902461', '419318222', '378568034', '377859454', '376941286', '360257705']",수연 산방
63,"['631160836', '599710495', '583815889', '556013845', '552613120', '543908236', '540694632', '455903036', '444116783', '422712798']",미가본
64,"['674961980', '657280968', '543792346', '542550013', '541281035', '529374486', '500744460', '490864293', '431360191', '362430328']",양미옥
65,"['653662999', '646980751', '640772015', '633876803', '624866442', '616808377', '603162984', '596113295', '582596379', '581577761']",만족오향족발 시청점
66,"['621005296', '584495462', '541935875', '514551059', '444152842', '387306535', '340364620', '314227070', '165277739', '165277740']",원당감자탕 명동2호점
67,"['601991492', '556208504', '543510549', '541863237', '528921684', '527970239', '500502591', '450555561', '438723141', '422073701']",37 그릴 & 바
68,"['674079835', '625758551', '569344973', '545674872', '544118033', '541121550', '446545078', '440791836', '424633086', '397553746']",신촌 황소곱창
69,"['675139338', '664365920', '646982074', '628618092', '606554294', '597583471', '590974084', '588638873', '580513371', '565543115']",버터핑거 팬케이크 강남점
70,"['668780123', '653875374', '600132640', '571371874', '544498681', '541709772', '496510744', '444692213', '435021447', '410919286']",벽제 갈비
71,"['654020057', '651184771', '639826710', '593480299', '584707025', '573855922', '562608091', '558031686', '544517866', '543317557']",구르카 인도 레스토랑
72,"['674962330', '657281101', '586944689', '553291556', '552824976', '542904043', '541122279', '523286666', '428252610', '407775069']",페트라
73,"['617560598', '590100908', '555330673', '527930268', '521594066', '501749466', '470466238', '462918464', '454389245', '320597581']",오세계향
74,"['635875937', '598168309', '543068150', '453487346', '373939413', '365630757', '334336057', '329512692', '329495528', '329437407']",루블랑
75,"['658558128', '565719135', '364975274', '340634868', '334745645', '329723349', '329393365', '323444098', '323395248', '322825206']",제임스 치즈 등갈비 홍대 본점
76,"['653875078', '559165286', '533604500', '324779169', '311193216', '671072713', '656458364', '641755424', '632959952', '613370542']",오우가
77,"['545884157', '524284790', '460859610', '433835263', '416770583', '373014367', '365505973', '359193643', '320896718', '311214168']",매니멀스모크하우스
78,"['674302328', '647890722', '630179802', '599726911', '559673605', '549451407', '541114656', '507709386', '476491699', '447751813']",우래옥 주교점
79,"['673441495', '666959429', '661885044', '628240965', '623349225', '351253661', '305580179', '200309366', '673196200', '592065163']",파올로 데 마리아
80,"['639848471', '606196072', '544318967', '540098186', '535065648', '532790868', '377319218', '358023966', '346433356', '343967196']",불고기 브라더스 서울 파이낸스 센터점
81,"['643189455', '623349599', '538014842', '457027531', '395362350', '395359437', '395359377', '395357551', '395080321', '375653332']",페닌슐라
82,"['599421799', '492903919', '482912504', '481095714', '406464319', '390595250', '364260646', '341793907', '329830203', '327568975']",육쌈냉면 홍대점
83,"['654217608', '652522547', '650430375', '590142581', '578408154', '568580101', '568197091', '540523893', '517666778', '507979820']",브릭 오븐 뉴욕 피자
84,"['643407805', '632882915', '593477820', '673131201', '641700874', '604485902', '588690608', '585945229', '582802782', '582731316']",예지식당
85,"['669762788', '644741943', '641449221', '634090360', '572031217', '566829876', '564222172', '560171248', '555545598', '547757255']",브라이 리퍼블릭
86,"['669858822', '632830654', '620587878', '613310429', '577696809', '574478547', '558582772', '545231295', '541264730', '539049822']",제스트
87,"['575576008', '546351580', '516894284', '512132118', '440316210', '438318359', '433203812', '428732061', '408652250', '402250314']",브루클린 더 버거 조인트 삼성점
88,"['659015155', '596061983', '356213749', '322570917', '320817706', '313928261', '312825293', '310660819', '666606684', '613647177']",서울 삼계탕
89,"['609504009', '584131917', '582163849', '580918731', '571238297', '569032736', '568857804', '566446406', '566001318', '565586047']",WXYZ바
90,"['620489449', '619889259', '607940158', '603164238', '599837546', '595413799', '578455482', '525302120', '476423781', '453244388']",고봉 삼계탕
91,"['675095193', '666319393', '599441417', '577377850', '551654563', '550589930', '550364643', '546008932', '543457773', '520642815']",툭툭 누들타이
